Date/Time(America/Paramaribo);Water_level_diver(mm)
14-5-2024 01:00;487.58
14-5-2024 02:00;484.58
14-5-2024 03:00;485.33
14-5-2024 04:00;478.83
14-5-2024 05:00;484.08
14-5-2024 06:00;481.25
14-5-2024 07:00;483.75
14-5-2024 08:00;479.17
14-5-2024 09:00;480.25
14-5-2024 10:00;479.67
14-5-2024 11:00;475.25
14-5-2024 12:00;481.42
14-5-2024 13:00;479
14-5-2024 14:00;475.08
14-5-2024 15:00;480.25
14-5-2024 16:00;476.58
14-5-2024 17:00;476.83
14-5-2024 18:00;473.08
14-5-2024 19:00;470.33
14-5-2024 20:00;470.42
14-5-2024 21:00;472.83
14-5-2024 22:00;472.75
14-5-2024 23:00;465.08
15-5-2024 00:00;465.5
15-5-2024 01:00;464.92
15-5-2024 02:00;462.25
15-5-2024 03:00;465.5
15-5-2024 04:00;474.17
15-5-2024 05:00;472.5
15-5-2024 06:00;468.33
15-5-2024 07:00;467.92
15-5-2024 08:00;466.67
15-5-2024 09:00;463.83
15-5-2024 10:00;465.92
15-5-2024 11:00;462.58
15-5-2024 12:00;453
15-5-2024 13:00;456.25
15-5-2024 14:00;458.08
15-5-2024 15:00;456.25
15-5-2024 16:00;457.67
15-5-2024 17:00;463.58
15-5-2024 18:00;462.08
15-5-2024 19:00;464.42
15-5-2024 20:00;460.58
15-5-2024 21:00;458.25
15-5-2024 22:00;454.83
15-5-2024 23:00;455.33
16-5-2024 00:00;458.42
16-5-2024 01:00;457.5
16-5-2024 02:00;451.58
16-5-2024 03:00;453.42
16-5-2024 04:00;457.67
16-5-2024 05:00;456.33
16-5-2024 06:00;461.33
16-5-2024 07:00;459
16-5-2024 08:00;458.75
16-5-2024 09:00;462.83
16-5-2024 10:00;455.67
16-5-2024 11:00;453.92
16-5-2024 12:00;450.83
16-5-2024 13:00;457.5
16-5-2024 14:00;451.83
16-5-2024 15:00;452.42
16-5-2024 16:00;450.83
16-5-2024 17:00;453.33
16-5-2024 18:00;450.25
16-5-2024 19:00;451.67
16-5-2024 20:00;453.5
16-5-2024 21:00;452.67
16-5-2024 22:00;451.33
16-5-2024 23:00;446.83
17-5-2024 00:00;447
17-5-2024 01:00;445.67
17-5-2024 02:00;447.92
17-5-2024 03:00;445.58
17-5-2024 04:00;452.25
17-5-2024 05:00;450.83
17-5-2024 06:00;448.17
17-5-2024 07:00;451.33
17-5-2024 08:00;447.25
17-5-2024 09:00;448
17-5-2024 10:00;445.25
17-5-2024 11:00;444.5
17-5-2024 12:00;442.83
17-5-2024 13:00;441.08
17-5-2024 14:00;482.33
17-5-2024 15:00;482
17-5-2024 16:00;480.42
17-5-2024 17:00;481.17
17-5-2024 18:00;476.83
17-5-2024 19:00;476.75
17-5-2024 20:00;472.75
17-5-2024 21:00;469.5
17-5-2024 22:00;467.67
17-5-2024 23:00;468.67
18-5-2024 00:00;463.08
18-5-2024 01:00;464.5
18-5-2024 02:00;461.67
18-5-2024 03:00;463.42
18-5-2024 04:00;463.83
18-5-2024 05:00;463.92
18-5-2024 06:00;468.08
18-5-2024 07:00;469.33
18-5-2024 08:00;467.75
18-5-2024 09:00;467.42
18-5-2024 10:00;459.25
18-5-2024 11:00;463.5
18-5-2024 12:00;458.17
18-5-2024 13:00;462.42
18-5-2024 14:00;453
18-5-2024 15:00;462.67
18-5-2024 16:00;461.33
18-5-2024 17:00;461.75
18-5-2024 18:00;460
18-5-2024 19:00;458.58
18-5-2024 20:00;467.33
18-5-2024 21:00;470.25
18-5-2024 22:00;467.58
18-5-2024 23:00;470.17
19-5-2024 00:00;462.42
19-5-2024 01:00;468.42
19-5-2024 02:00;464.08
19-5-2024 03:00;469.83
19-5-2024 04:00;468.83
19-5-2024 05:00;462.67
19-5-2024 06:00;466.75
19-5-2024 07:00;465.75
19-5-2024 08:00;466.17
19-5-2024 09:00;463.67
19-5-2024 10:00;459.25
19-5-2024 11:00;461.58
19-5-2024 12:00;460.42
19-5-2024 13:00;452.33
19-5-2024 14:00;454.67
19-5-2024 15:00;457.67
19-5-2024 16:00;463.42
19-5-2024 17:00;456.75
19-5-2024 18:00;464.75
19-5-2024 19:00;458.42
19-5-2024 20:00;460.42
19-5-2024 21:00;466.5
19-5-2024 22:00;461.17
19-5-2024 23:00;458.42
20-5-2024 00:00;465.83
20-5-2024 01:00;465.83
20-5-2024 02:00;465.92
20-5-2024 03:00;469.08
20-5-2024 04:00;467.67
20-5-2024 05:00;463.42
20-5-2024 06:00;466
20-5-2024 07:00;465.42
20-5-2024 08:00;468.92
20-5-2024 09:00;467.75
20-5-2024 10:00;459.5
20-5-2024 11:00;457
20-5-2024 12:00;458.42
20-5-2024 13:00;449.75
20-5-2024 14:00;499.83
20-5-2024 15:00;493.75
20-5-2024 16:00;491.67
20-5-2024 17:00;478.83
20-5-2024 18:00;480.75
20-5-2024 19:00;477.58
20-5-2024 20:00;480.25
20-5-2024 21:00;475.5
20-5-2024 22:00;471.33
20-5-2024 23:00;472
21-5-2024 00:00;473.67
21-5-2024 01:00;472.83
21-5-2024 02:00;467.67
21-5-2024 03:00;470.92
21-5-2024 04:00;469.5
21-5-2024 05:00;470.33
21-5-2024 06:00;471.33
21-5-2024 07:00;469.25
21-5-2024 08:00;471.83
21-5-2024 09:00;469.42
21-5-2024 10:00;468.17
21-5-2024 11:00;464.58
21-5-2024 12:00;466.17
21-5-2024 13:00;458.92
21-5-2024 14:00;462
21-5-2024 15:00;464.08
21-5-2024 16:00;463.58
21-5-2024 17:00;467.08
21-5-2024 18:00;475
21-5-2024 19:00;467.33
21-5-2024 20:00;466.75
21-5-2024 21:00;465.5
